title,studio,rottenTomatoesScore,audienceScore,story,genre,nTheatersOpening,usBoxOfficeAvgOpeningWeekend,grossDomestic,grossForeign,grossWorldwide,budget,profitability,openingWeekend,oscar,bafta,source
The Conspirator,Independent,56,65,Underdog,Drama,707,4960,11.54,2.67,14.21,25,56.84%,3.51,,,http://boxofficemojo.com/movies/?id=conspirator.htm
One Day,Independent,37,54,Love,Romance,1719,2955,13.84,41.40,55.24,15,368.27%,5.08,,,http://boxofficemojo.com/movies/?id=oneday.htm
The Big Year,Independent,38,62,Transformation,Comedy,2150,1513,7.17,0.24,7.41,41,18.07%,3.25,,,http://boxofficemojo.com/movies/?id=bigyear.htm
The Rum Diary,Independent,50,48,Discovery,Drama,2273,2259,13.07,8.48,21.55,45,47.89%,5.14,,,http://boxofficemojo.com/movies/?id=rumdiary.htm
Drive Angry,Independent,45,38,Rescue,Action,2290,2265,10.72,18.21,28.93,45,64.29%,5.19,,,http://latimesblogs.latimes.com/entertainmentnewsbuzz/2011/02/movie-projector-hall-pass-farrelly-brothers-drive-angry-nicolas-cage.html
50/50,Independent,93,93,Discovery,Comedy,2458,3517,34.90,1.62,36.51,8,456.39%,8.64,,,http://boxofficemojo.com/movies/?id=50fifty.htm
The Roommate,Independent,4,29,Monster Force,Horror,2534,5921,37.30,3.19,40.49,16,253.08%,15.00,,,http://boxofficemojo.com/movies/?id=roommate10.htm
The Mechanic,Independent,53,52,Revenge,Action,2703,4226,29.20,22.00,51.20,40,128.00%,11.40,,,http://boxofficemojo.com/movies/?id=mechanic.htm
The Adjustment Bureau,Independent,72,67,Sacrifice,Thriller,2840,7450,62.50,65.37,127.87,50.2,254.72%,21.16,,,http://boxofficemojo.com/movies/?id=adjustmentbureau.htm
Drive,Independent,93,79,Rivalry,Thriller,2886,3929,34.68,32.33,67.01,15,446.71%,11.34,,,http://boxofficemojo.com/movies/?id=drive2011.htm
30 Minutes or Less,Independent,43,48,Comedy,Comedy,2888,4616,37.05,3.49,40.55,28,144.81%,13.33,,,http://boxofficemojo.com/movies/?id=30minutesorless.htm
Killer Elite,Independent,25,48,Rivalry,Action,2986,3132,25.12,27.84,52.96,70,75.66%,9.35,,,http://boxofficemojo.com/movies/?id=killerelite.htm
The Three Musketeers,Independent,24,48,Rivalry,Action,3017,2875,20.25,111.90,132.15,75,176.20%,8.67,,,http://boxofficemojo.com/movies/?id=threemusketeers11.htm
Unknown,Independent,55,57,The Riddle,Thriller,3043,7183,63.69,67.10,130.79,30,435.95%,21.86,,,http://boxofficemojo.com/movies/?id=unknownwhitemale11.htm
Bad Teacher,Independent,44,38,Comedy,Comedy,3049,10365,100.29,115.90,216.20,20,1080.98%,31.60,,,http://boxofficemojo.com/movies/?id=badteacher.htm
Paranormal Activity 3,Independent,68,58,Monster Force,Horror,3321,15829,103.66,98.24,201.90,5,4037.94%,52.57,,,http://boxofficemojo.com/movies/?id=paranormalactivity3.htm
Dolphin Tale,Independent,84,81,Quest,Drama,3507,5461,71.08,16.86,87.95,37,237.69%,19.15,,,http://boxofficemojo.com/movies/?id=dolphintale.htm
Twilight: Breaking Dawn,Independent,26,68,Love,Romance,4061,34012,281.17,421.00,702.17,110,638.34%,138.12,,,http://boxofficemojo.com/movies/?id=breakingdawn.htm
Sucker Punch,Legendary Pictures,23,48,Quest,Action,3033,6284,36.39,53.40,89.79,82,109.50%,19.06,,,http://boxofficemojo.com/movies/?id=suckerpunch.htm
The Hangover Part II,Legendary Pictures,35,58,Comedy,Comedy,3615,23775,254.46,327.00,581.46,80,726.83%,85.95,,,http://boxofficemojo.com/movies/?id=hangover2.htm
Warrior,Lionsgate,83,93,Rivalry,Action,1869,2805,13.66,9.40,23.06,25,92.23%,5.24,,,http://boxofficemojo.com/movies/?id=warrior10.htm
The Lincoln Lawyer,Lionsgate,84,82,Fish Out Of Water,Drama,2707,4879,58.01,17.00,75.01,40,187.52%,13.21,,,http://boxofficemojo.com/movies/?id=lincolnlawyer.htm
A Very Harold and Kumar Christmas,Lionsgate,72,71,Comedy,Comedy,2875,4506,34.04,??,34.04,19,179.18%,12.95,,,http://boxofficemojo.com/movies/?id=haroldandkumar3.htm
Conan the Barbarian,Lionsgate,22,34,Quest,Action,3015,3324,21.30,27.50,48.80,90,54.22%,10.02,,,http://boxofficemojo.com/movies/?id=conan3d.htm
Don't Be Afraid Of The Dark,Miramax Films,59,37,Monster Force,Horror,2760,3089,24.05,7.50,31.55,25,126.18%,8.53,,,http://boxofficemojo.com/movies/?id=dontbeafraidofthedark.htm
Dream House,Morgan Creek Productions,7,38,The Riddle,Horror,2661,3055,21.30,17.20,38.50,50,77.00%,8.13,,,http://boxofficemojo.com/movies/?id=dreamhouse.htm
Final Destination 5,New Line Cinema,61,56,Monster Force,Horror,3155,5715,42.59,115.30,157.89,40,394.72%,18.03,,,http://boxofficemojo.com/movies/?id=finaldestination5.htm
Hugo,Paramount,93,84,,Adventure,1277,8899,62.08,34.6,96.68,150,64.45%,11.36,,,
The Adventures of Tintin,Paramount,74,78,Quest,Adventure,3087,3149,77.24,296.4,373.64,130,287.42%,9.72,,,http://boxofficemojo.com/movies/?id=tintin.htm
I Am Number Four,Paramount,32,57,Maturation,Thriller,3154,6167,55.10,89.40,144.50,60,240.83%,19.45,,,http://boxofficemojo.com/movies/?id=iamnumberfour.htm
Super 8 ,Paramount,82,78,Monster Force,Horror,3379,10492,127.00,132.71,259.71,50,519.43%,35.45,,,http://boxofficemojo.com/movies/?id=super8.htm
Mission Impossible 4,Paramount,93,86,Pursuit,Action,3448,8672,208.38,480.4,688.78,145,475.02%,29.55,,,http://boxofficemojo.com/movies/?id=mi4.htm
Rango,Paramount,88,69,Fish Out Of Water,Animation,3917,9722,123.26,121.90,245.15,135,181.60%,38.08,,,http://boxofficemojo.com/movies/?id=rango.htm
Cars 2,Pixar,38,56,Fish Out Of Water,Animation,4115,16072,191.45,360.40,551.85,200,275.93%,66.14,,,http://boxofficemojo.com/movies/?id=cars2.htm
In Time,Regency Enterprises,38,55,The Riddle,Thriller,3122,3860,36.49,90.90,127.39,40,318.48%,12.05,,,http://boxofficemojo.com/movies/?id=now.htm
Take Me Home Tonight,Relativity,28,46,Discovery,Comedy,2003,1730,6.93,,6.93,25,27.71%,3.46,,,http://goforamovie.com/tag/take-me-home-tonight-budget/
Paul,Relativity,72,70,Comedy,Comedy,2802,4655,37.41,60.57,97.98,40,244.96%,13.04,,,http://boxofficemojo.com/movies/?id=paul.htm
Shark Night 3D,Relativity,16,25,Escape,Horror,2806,2995,18.88,19.83,38.70,25,154.81%,8.40,,,http://boxofficemojo.com/movies/?id=shark3d.htm
Tower Heist,Relativity,68,61,Revenge,Comedy,3367,7135,78.04,86.50,164.54,75,219.39%,24.03,,,http://boxofficemojo.com/movies/?id=towerheist.htm
Season Of The Witch,Relativity,10,32,Monster Force,Action,2816,3769,24.80,66.80,91.60,40,229.00%,10.60,,,http://boxofficemojo.com/movies/?page=main&id=seasonofthewitch.htm
Anonymous,Relativity,46,66,Tragedy,Drama,265,3856,4.46,9.73,14.19,30,47.30%,1.02,,,http://boxofficemojo.com/movies/?id=anonymous.htm
Johnny English Reborn,Relativity,38,55,Comedy,Comedy,1552,2470,8.31,149.63,157.94,45,350.98%,3.83,,,http://boxofficemojo.com/movies/?id=johnnyenglish2.htm
Sanctum,Relativity,30,39,Quest,Action,2787,3390,23.20,85.40,108.60,30,362.00%,9.40,,,http://boxofficemojo.com/movies/?id=sanctum.htm
The Change Up,Relativity,24,53,Metamorphosis,Comedy,2913,4645,37.08,33.75,70.83,52,136.22%,13.53,,,http://boxofficemojo.com/movies/?id=changeup.htm
Bridesmaids,Relativity,90,77,Rivalry,Comedy,2918,8995,169.11,119.28,288.38,32.5,887.33%,26.25,,,http://boxofficemojo.com/movies/?id=wiigapatow.htm
Immortals,Relativity,36,59,Revenge,Action,3112,10349,80.49,102.00,182.49,75,243.31%,32.21,,,http://boxofficemojo.com/movies/?id=warofgods.htm
Battle: Los Angeles,Relativity,35,50,Monster Force,Action,3417,10411,83.55,128.27,211.82,70,302.60%,35.57,,,http://boxofficemojo.com/movies/?id=battlelosangeles.htm
Hop,Relativity,26,50,Fish Out Of Water,Animation,3579,10490,108.09,75.87,183.95,63,291.99%,37.54,,,http://boxofficemojo.com/movies/?id=ihop.htm
Everything Must Go,Reliance Entertainment,74,53,Discovery,Drama,218,3652,2.71,,2.71,5,54.22%,0.79,,,http://boxofficemojo.com/movies/?id=everythingmustgo.htm
Midnight in Paris,Sony,93,84,Love,Romance,944,6177,56.80,91.86,148.66,17,874.47%,5.83,orig. screenplay,,http://boxofficemojo.com/movies/?id=midnightinparis.htm
Soul Surfer,Sony,46,79,Underdog,Drama,2214,4789,43.85,0.41,44.27,18,245.93%,10.60,,,http://boxofficemojo.com/movies/?id=soulsurfer.htm
Insidious,Sony,67,65,Monster Force,Horror,2408,5511,54.01,43.00,97.01,1.5,6467.27%,13.27,,,http://boxofficemojo.com/movies/?id=insidious.htm
Colombiana,Sony,28,55,Revenge,Action,2614,3982,36.67,24.30,60.97,40,152.41%,10.41,,,http://boxofficemojo.com/movies/?id=colombiana.htm
Priest,Sony,17,37,Monster Force,Action,2864,5221,29.14,49.17,78.31,60,130.51%,14.95,,,http://boxofficemojo.com/movies/?id=priest07.htm
The Girl With The Dragon Tattoo,Sony,87,89,,Thriller,2914,4382,102.06,127.13,229.19,90,254.66%,12.76,,,http://boxofficemojo.com/movies/?id=girldragontattoo11.htm
The Smurfs,Sony,23,50,Fish Out Of Water,Animation,3395,10489,142.61,419.54,562.16,110,511.05%,35.61,,,http://boxofficemojo.com/movies/?id=smurfs.htm
The Dilemma,Spyglass Entertainment,23,31,Comedy,Comedy,2940,6060,48.50,21.20,69.70,70,99.57%,17.80,,,http://boxofficemojo.com/movies/?id=howardvaughnjames.htm
No Strings Attached,Spyglass Entertainment,49,57,Comedy,Comedy,3018,6512,70.60,77.10,147.70,25,590.80%,19.70,,,http://boxofficemojo.com/movies/?id=friendswithbenefits.htm
Footloose,Spyglass Entertainment,71,71,Transformation,Drama,3549,4383,51.16,10.90,62.05,24,258.55%,15.56,,,http://boxofficemojo.com/movies/?id=footloose2010.htm
The Beaver,Summit Entertainment,62,57,Transformation,Drama,22,4890,0.97,5.40,6.37,21,30.33%,0.11,,,http://boxofficemojo.com/movies/?id=beaver.htm
Source Code,Summit Entertainment,92,81,The Riddle,Thriller,2961,5002,54.71,68.57,123.28,32,385.24%,14.81,,,http://boxofficemojo.com/movies/?id=sourcecode.htm
My Week with Marilyn,The Weinstein Company,83,84,Love,Drama,247,7174,5.31,2.95,8.26,10,82.58%,1.75,,,http://latimesblogs.latimes.com/entertainmentnewsbuzz/2011/11/muppets-arthur-christmas-hugo-box-office.html
Our Idiot Brother,The Weinstein Company,68,79,Comedy,Comedy,2555,2744,24.82,,24.82,5,496.32%,7.01,,,http://boxofficemojo.com/movies/?id=ouridiotbrother.htm
The Debt,Universal,76,70,Pursuit,Thriller,1826,5427,31.18,14.25,45.43,20,227.15%,9.91,,,http://boxofficemojo.com/movies/?id=debt.htm
The Eagle,Universal,39,43,Quest,Action,2296,3782,19.49,7.63,27.12,25,108.48%,8.68,,,http://boxofficemojo.com/movies/?id=eagleoftheninth.htm
Hanna,Universal,71,67,Quest,Action,2535,4880,40.26,23.52,63.78,30,212.60%,12.37,,,http://boxofficemojo.com/movies/?id=hanna.htm
Your Highness,Universal,26,36,Comedy,Comedy,2769,3380,21.60,3.26,24.86,49.9,49.81%,9.36,,,http://boxofficemojo.com/movies/?id=yourhighness.htm
Larry Crowne,Universal,34,46,Discovery,Drama,2973,4405,35.61,16.80,52.41,30,174.69%,13.10,,,http://boxofficemojo.com/movies/?id=larrycrowne.htm
The Thing,Universal,36,52,Monster Force,Horror,2996,2835,16.93,10.50,27.43,38,72.18%,8.49,,,http://boxofficemojo.com/movies/?id=thing11.htm
Fast Five,Universal,78,83,Escape,Action,3644,23655,209.83,416.3,626.13,125,500.90%,86.19,,,
Cowboys and Aliens,Universal,44,50,Monster Force,Action,3750,9715,100.24,74.58,174.82,163,107.25%,36.43,,,http://boxofficemojo.com/movies/?id=cowboysandaliens.htm
Abduction,Vertigo Entertainment,4,46,Maturation,Action,3118,3504,28.07,54.00,82.07,35,234.48%,10.93,,,http://boxofficemojo.com/movies/?id=abduction11.htm
Happy Feet 2,Village Roadshow Pictures,41,59,Journey and Return,Animation,3606,5889,57.31,49.20,106.51,135,78.89%,21.24,,,http://boxofficemojo.com/movies/?id=happyfeet2.htm
Limitless,Virgin,69,73,Wretched Excess,Thriller,2756,6860,79.25,82.60,161.85,27,599.44%,18.91,,,http://boxofficemojo.com/movies/?id=darkfields.htm
J.Edgar,Warner Bros,42,84,Wretched Excess,Drama,1910,5873,37.39,35.80,73.19,35,209.11%,11.22,,,http://boxofficemojo.com/movies/?id=jedgar.htm
Friends With Benefits,Warner Bros,71,68,Temptation,Romance,2926,6364,55.80,93.74,149.54,35,427.26%,18.62,,,http://boxofficemojo.com/movies/?id=friendswithbenefits10.htm
Hall Pass,Warner Bros,35,44,Temptation,Comedy,2950,4588,45.06,38.10,83.16,36,231.00%,13.54,,,http://boxofficemojo.com/movies/?id=hallpass.htm
